,date_range,time,date_type,year,location,y_pred_in,y_pred_out,in_high_time,out_high_time,record_time
0,2023-01-24 - 2023-01-24,2023-01-24 07:10:00,春节,2023,舟山西,55.146095,58.077698,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
1,2023-01-24 - 2023-01-24,2023-01-24 07:20:00,春节,2023,舟山西,62.545734,67.54433,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
2,2023-01-24 - 2023-01-24,2023-01-24 07:30:00,春节,2023,舟山西,68.556244,75.639824,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
3,2023-01-24 - 2023-01-24,2023-01-24 07:40:00,春节,2023,舟山西,78.70017,89.820305,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
4,2023-01-24 - 2023-01-24,2023-01-24 07:50:00,春节,2023,舟山西,85.86331,99.35921,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
5,2023-01-24 - 2023-01-24,2023-01-24 08:00:00,春节,2023,舟山西,90.86797,108.223526,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
6,2023-01-24 - 2023-01-24,2023-01-24 08:10:00,春节,2023,舟山西,98.75892,121.90573,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
7,2023-01-24 - 2023-01-24,2023-01-24 08:20:00,春节,2023,舟山西,107.17587,134.58504,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
8,2023-01-24 - 2023-01-24,2023-01-24 08:30:00,春节,2023,舟山西,116.666626,147.44255,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
9,2023-01-24 - 2023-01-24,2023-01-24 08:40:00,春节,2023,舟山西,123.33884,158.52817,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
10,2023-01-24 - 2023-01-24,2023-01-24 08:50:00,春节,2023,舟山西,130.95995,168.41658,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
11,2023-01-24 - 2023-01-24,2023-01-24 09:00:00,春节,2023,舟山西,136.51445,178.37607,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
12,2023-01-24 - 2023-01-24,2023-01-24 09:10:00,春节,2023,舟山西,143.64127,192.57552,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
13,2023-01-24 - 2023-01-24,2023-01-24 09:20:00,春节,2023,舟山西,147.75476,204.45583,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
14,2023-01-24 - 2023-01-24,2023-01-24 09:30:00,春节,2023,舟山西,154.40721,217.24591,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
15,2023-01-24 - 2023-01-24,2023-01-24 09:40:00,春节,2023,舟山西,159.08379,224.34679,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
16,2023-01-24 - 2023-01-24,2023-01-24 09:50:00,春节,2023,舟山西,167.96935,235.04926,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
17,2023-01-24 - 2023-01-24,2023-01-24 10:00:00,春节,2023,舟山西,170.83067,236.54207,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
18,2023-01-24 - 2023-01-24,2023-01-24 10:10:00,春节,2023,舟山西,175.89658,235.99579,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
19,2023-01-24 - 2023-01-24,2023-01-24 10:20:00,春节,2023,舟山西,180.25287,236.3278,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
20,2023-01-24 - 2023-01-24,2023-01-24 10:30:00,春节,2023,舟山西,181.72781,233.93889,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
21,2023-01-24 - 2023-01-24,2023-01-24 10:40:00,春节,2023,舟山西,180.6993,230.40996,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
22,2023-01-24 - 2023-01-24,2023-01-24 10:50:00,春节,2023,舟山西,176.34737,222.70398,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
23,2023-01-24 - 2023-01-24,2023-01-24 11:00:00,春节,2023,舟山西,174.89503,220.34694,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
24,2023-01-24 - 2023-01-24,2023-01-24 11:10:00,春节,2023,舟山西,167.2304,212.66583,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
25,2023-01-24 - 2023-01-24,2023-01-24 11:20:00,春节,2023,舟山西,159.30531,207.87225,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
26,2023-01-24 - 2023-01-24,2023-01-24 11:30:00,春节,2023,舟山西,153.70631,203.61336,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
27,2023-01-24 - 2023-01-24,2023-01-24 11:40:00,春节,2023,舟山西,148.74953,195.7614,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
28,2023-01-24 - 2023-01-24,2023-01-24 11:50:00,春节,2023,舟山西,147.34605,190.21552,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
29,2023-01-24 - 2023-01-24,2023-01-24 12:00:00,春节,2023,舟山西,145.45241,183.97061,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
30,2023-01-24 - 2023-01-24,2023-01-24 12:10:00,春节,2023,舟山西,144.0031,180.19539,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
31,2023-01-24 - 2023-01-24,2023-01-24 12:20:00,春节,2023,舟山西,146.70598,183.381,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
32,2023-01-24 - 2023-01-24,2023-01-24 12:30:00,春节,2023,舟山西,149.18552,187.5715,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
33,2023-01-24 - 2023-01-24,2023-01-24 12:40:00,春节,2023,舟山西,155.82588,195.81818,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
34,2023-01-24 - 2023-01-24,2023-01-24 12:50:00,春节,2023,舟山西,166.80551,209.52185,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
35,2023-01-24 - 2023-01-24,2023-01-24 13:00:00,春节,2023,舟山西,177.94489,222.75055,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
36,2023-01-24 - 2023-01-24,2023-01-24 13:10:00,春节,2023,舟山西,188.9165,235.97617,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
37,2023-01-24 - 2023-01-24,2023-01-24 13:20:00,春节,2023,舟山西,197.34995,247.28668,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
38,2023-01-24 - 2023-01-24,2023-01-24 13:30:00,春节,2023,舟山西,200.7003,253.60434,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
39,2023-01-24 - 2023-01-24,2023-01-24 13:40:00,春节,2023,舟山西,205.81187,262.62195,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
40,2023-01-24 - 2023-01-24,2023-01-24 13:50:00,春节,2023,舟山西,206.96628,263.13184,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
41,2023-01-24 - 2023-01-24,2023-01-24 14:00:00,春节,2023,舟山西,212.97415,268.20685,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
42,2023-01-24 - 2023-01-24,2023-01-24 14:10:00,春节,2023,舟山西,217.73099,271.22107,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
43,2023-01-24 - 2023-01-24,2023-01-24 14:20:00,春节,2023,舟山西,219.76974,270.97766,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
44,2023-01-24 - 2023-01-24,2023-01-24 14:30:00,春节,2023,舟山西,219.83647,269.58307,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
45,2023-01-24 - 2023-01-24,2023-01-24 14:40:00,春节,2023,舟山西,219.5569,269.8735,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
46,2023-01-24 - 2023-01-24,2023-01-24 14:50:00,春节,2023,舟山西,221.54756,272.80698,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
47,2023-01-24 - 2023-01-24,2023-01-24 15:00:00,春节,2023,舟山西,220.51128,271.5312,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
48,2023-01-24 - 2023-01-24,2023-01-24 15:10:00,春节,2023,舟山西,219.23349,269.89584,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
49,2023-01-24 - 2023-01-24,2023-01-24 15:20:00,春节,2023,舟山西,221.518,272.64478,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
50,2023-01-24 - 2023-01-24,2023-01-24 15:30:00,春节,2023,舟山西,220.5808,269.5545,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
51,2023-01-24 - 2023-01-24,2023-01-24 15:40:00,春节,2023,舟山西,219.61201,264.49545,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
52,2023-01-24 - 2023-01-24,2023-01-24 15:50:00,春节,2023,舟山西,219.9896,261.4337,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
53,2023-01-24 - 2023-01-24,2023-01-24 16:00:00,春节,2023,舟山西,221.05896,260.336,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
54,2023-01-24 - 2023-01-24,2023-01-24 16:10:00,春节,2023,舟山西,220.74744,259.32993,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
55,2023-01-24 - 2023-01-24,2023-01-24 16:20:00,春节,2023,舟山西,219.09586,259.94363,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
56,2023-01-24 - 2023-01-24,2023-01-24 16:30:00,春节,2023,舟山西,212.7508,254.51265,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
57,2023-01-24 - 2023-01-24,2023-01-24 16:40:00,春节,2023,舟山西,209.8608,251.60863,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
58,2023-01-24 - 2023-01-24,2023-01-24 16:50:00,春节,2023,舟山西,207.79703,246.73772,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
59,2023-01-24 - 2023-01-24,2023-01-24 17:00:00,春节,2023,舟山西,208.44699,242.88757,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
60,2023-01-24 - 2023-01-24,2023-01-24 17:10:00,春节,2023,舟山西,212.04025,237.14893,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
61,2023-01-24 - 2023-01-24,2023-01-24 17:20:00,春节,2023,舟山西,218.00354,233.84108,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
62,2023-01-24 - 2023-01-24,2023-01-24 17:30:00,春节,2023,舟山西,220.64133,229.82397,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
63,2023-01-24 - 2023-01-24,2023-01-24 17:40:00,春节,2023,舟山西,223.69781,229.98546,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
64,2023-01-24 - 2023-01-24,2023-01-24 17:50:00,春节,2023,舟山西,228.17834,234.62262,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
65,2023-01-24 - 2023-01-24,2023-01-24 18:00:00,春节,2023,舟山西,227.48476,234.34619,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
66,2023-01-24 - 2023-01-24,2023-01-24 18:10:00,春节,2023,舟山西,224.64912,234.02542,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
67,2023-01-24 - 2023-01-24,2023-01-24 18:20:00,春节,2023,舟山西,218.72775,231.81511,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
68,2023-01-24 - 2023-01-24,2023-01-24 18:30:00,春节,2023,舟山西,209.5339,229.40376,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
69,2023-01-24 - 2023-01-24,2023-01-24 18:40:00,春节,2023,舟山西,200.5106,227.39204,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
70,2023-01-24 - 2023-01-24,2023-01-24 18:50:00,春节,2023,舟山西,191.79428,225.04805,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
71,2023-01-24 - 2023-01-24,2023-01-24 19:00:00,春节,2023,舟山西,183.71648,220.33955,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
72,2023-01-24 - 2023-01-24,2023-01-24 19:10:00,春节,2023,舟山西,180.41672,221.01268,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
73,2023-01-24 - 2023-01-24,2023-01-24 19:20:00,春节,2023,舟山西,175.15353,216.4599,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
74,2023-01-24 - 2023-01-24,2023-01-24 19:30:00,春节,2023,舟山西,171.94536,212.55493,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
75,2023-01-24 - 2023-01-24,2023-01-24 19:40:00,春节,2023,舟山西,167.39397,205.83679,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
76,2023-01-24 - 2023-01-24,2023-01-24 19:50:00,春节,2023,舟山西,160.11613,195.75261,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
77,2023-01-24 - 2023-01-24,2023-01-24 20:00:00,春节,2023,舟山西,153.17767,186.90941,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
78,2023-01-24 - 2023-01-24,2023-01-24 20:10:00,春节,2023,舟山西,146.46268,179.28987,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
79,2023-01-24 - 2023-01-24,2023-01-24 20:20:00,春节,2023,舟山西,138.59172,169.1769,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
80,2023-01-24 - 2023-01-24,2023-01-24 20:30:00,春节,2023,舟山西,132.72212,160.04958,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
81,2023-01-24 - 2023-01-24,2023-01-24 20:40:00,春节,2023,舟山西,124.55809,148.08511,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
82,2023-01-24 - 2023-01-24,2023-01-24 20:50:00,春节,2023,舟山西,118.126724,134.72525,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
83,2023-01-24 - 2023-01-24,2023-01-24 21:00:00,春节,2023,舟山西,111.17569,119.615425,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
84,2023-01-24 - 2023-01-24,2023-01-24 21:10:00,春节,2023,舟山西,103.13577,104.81218,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
85,2023-01-24 - 2023-01-24,2023-01-24 21:20:00,春节,2023,舟山西,96.77315,92.65847,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
86,2023-01-24 - 2023-01-24,2023-01-24 21:30:00,春节,2023,舟山西,89.9448,79.747734,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
87,2023-01-24 - 2023-01-24,2023-01-24 21:40:00,春节,2023,舟山西,82.97036,68.43903,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
88,2023-01-24 - 2023-01-24,2023-01-24 21:50:00,春节,2023,舟山西,79.85762,62.23977,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
89,2023-01-24 - 2023-01-24,2023-01-24 22:00:00,春节,2023,舟山西,74.96527,55.91577,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
90,2023-01-24 - 2023-01-24,2023-01-24 22:10:00,春节,2023,舟山西,71.24394,51.292007,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
91,2023-01-24 - 2023-01-24,2023-01-24 22:20:00,春节,2023,舟山西,70.28126,51.885612,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
92,2023-01-24 - 2023-01-24,2023-01-24 22:30:00,春节,2023,舟山西,65.08299,45.819424,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
93,2023-01-24 - 2023-01-24,2023-01-24 22:40:00,春节,2023,舟山西,60.61626,41.397785,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
94,2023-01-24 - 2023-01-24,2023-01-24 22:50:00,春节,2023,舟山西,58.028385,39.470245,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
95,2023-01-24 - 2023-01-24,2023-01-24 23:00:00,春节,2023,舟山西,54.98766,36.26073,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
96,2023-01-24 - 2023-01-24,2023-01-24 23:10:00,春节,2023,舟山西,53.561016,34.525265,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
97,2023-01-24 - 2023-01-24,2023-01-24 23:20:00,春节,2023,舟山西,49.165337,30.023832,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
98,2023-01-24 - 2023-01-24,2023-01-24 23:30:00,春节,2023,舟山西,47.084713,29.42451,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
99,2023-01-24 - 2023-01-24,2023-01-24 23:40:00,春节,2023,舟山西,43.32567,26.70109,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
100,2023-01-24 - 2023-01-24,2023-01-24 23:50:00,春节,2023,舟山西,40.129265,25.936705,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-24
101,2023-01-25 - 2023-01-25,2023-01-25 00:00:00,春节（观察日）,2023,舟山西,35.54425,23.169622,2023-01-24 15:00:00,2023-01-24 14:00:00,2023-01-25
